LOINC_NUM,COMPONENT,PROPERTY,TIME_ASPCT,SYSTEM,SCALE_TYP,METHOD_TYP,CLASS,CLASSTYPE,LONG_COMMON_NAME
100069-4,Fixation point,Angle,Point in time (spot),Left eye,Nom,"",EYE.SPECULAR MICROSCOPY,2,Left eye Fixation point [Angle]
100070-2,Cell density,Number Areic (per area),Point in time (spot),Right cornea,Qn,"",EYE.SPECULAR MICROSCOPY,2,Right cornea Cell density
100071-0,Cell density,Number Areic (per area),Point in time (spot),Left cornea,Qn,"",EYE.SPECULAR MICROSCOPY,2,Left cornea Cell density
100072-8,Coefficient of variation,Length/Area,Point in time (spot),Right cornea,Qn,"",EYE.SPECULAR MICROSCOPY,2,Right cornea Coefficient of variation
10007-3,R wave duration.lead V4,Time (e.g. seconds),Point in time (spot),Heart,Qn,EKG,EKG measurements,2,R wave duration in lead V4
100073-6,Coefficient of variation,Length/Area,Point in time (spot),Left cornea,Qn,"",EYE.SPECULAR MICROSCOPY,2,Left cornea Coefficient of variation
100074-4,Hexagonality,Relative Ratio,Point in time (spot),Right cornea,Qn,"",EYE.SPECULAR MICROSCOPY,2,Right cornea Hexagonality
100075-1,Hexagonality,Relative Ratio,Point in time (spot),Left cornea,Qn,"",EYE.SPECULAR MICROSCOPY,2,Left cornea Hexagonality
100076-9,Endothelial cells counted,Number (count),Point in time (spot),Right cornea,Qn,"",EYE.SPECULAR MICROSCOPY,2,Right cornea Endothelial cells counted
100077-7,Endothelial cells counted,Number (count),Point in time (spot),Left cornea,Qn,"",EYE.SPECULAR MICROSCOPY,2,Left cornea Endothelial cells counted
100078-5,Endothelial cell area.min,Area,Point in time (spot),Right cornea,Qn,"",EYE.SPECULAR MICROSCOPY,2,Right cornea Endothelial cell area.min
100079-3,Endothelial cell area.min,Area,Point in time (spot),Left cornea,Qn,"",EYE.SPECULAR MICROSCOPY,2,Left cornea Endothelial cell area.min
100080-1,Endothelial cell area.max,Area,Point in time (spot),Right cornea,Qn,"",EYE.SPECULAR MICROSCOPY,2,Right cornea Endothelial cell area.max
10008-1,R wave duration.lead V5,Time (e.g. seconds),Point in time (spot),Heart,Qn,EKG,EKG measurements,2,R wave duration in lead V5
100081-9,Endothelial cell area.max,Area,Point in time (spot),Left cornea,Qn,"",EYE.SPECULAR MICROSCOPY,2,Left cornea Endothelial cell area.max
100082-7,Endothelial cell area.mean,Area,Point in time (spot),Right cornea,Qn,"",EYE.SPECULAR MICROSCOPY,2,Right cornea Endothelial cell area.mean
100083-5,Endothelial cell area.mean,Area,Point in time (spot),Left cornea,Qn,"",EYE.SPECULAR MICROSCOPY,2,Left cornea Endothelial cell area.mean
100084-3,Cell area.standard deviation,Area,Point in time (spot),Right cornea,Qn,"",EYE.SPECULAR MICROSCOPY,2,Right cornea Cell area.standard deviation
100085-0,Cell area.standard deviation,Area,Point in time (spot),Left cornea,Qn,"",EYE.SPECULAR MICROSCOPY,2,Left cornea Cell area.standard deviation
100086-8,Analysis method,Type,Point in time (spot),Right cornea,Nom,Specular microscopy,EYE.SPECULAR MICROSCOPY,2,Right cornea Type of Analysis method by Specular microscopy
100087-6,Toxocara canis 24-35kD Ab.IgG,Presence or Threshold,Point in time (spot),Serum,Ord,IB,Microbiology,1,Toxocara canis 24-35kD IgG Ab [Presence] in Serum by Immunoblot
100088-4,Taenia solium larva Ab bands panel,-,Point in time (spot),Serum,-,IB,Microbiology Panels,1,Taenia solium larva Ab bands panel - Serum by Immunoblot
100089-2,Taenia solium larva 6-8kD Ab,Presence or Threshold,Point in time (spot),Serum,Ord,IB,Microbiology,1,Taenia solium larva 6-8kD Ab [Presence] in Serum by Immunoblot
1000-9,DBG Ab,Presence or Threshold,Point in time (spot),Serum or Plasma^BPU,Ord,"",Blood bank,1,DBG Ab [Presence] in Serum or Plasma from Blood product unit
100090-0,Taenia solium larva 45kD Ab,Presence or Threshold,Point in time (spot),Serum,Ord,IB,Microbiology,1,Taenia solium larva 45kD Ab [Presence] in Serum by Immunoblot
100091-8,Trypanosoma cruzi Ab,Arbitrary Concentration,Point in time (spot),Serum,Qn,IA,Microbiology,1,Trypanosoma cruzi Ab [Units/volume] in Serum by Immunoassay
100092-6,Trypanosoma cruzi Ab bands panel,-,Point in time (spot),Serum,-,IB,Microbiology Panels,1,Trypanosoma cruzi Ab bands panel - Serum by Immunoblot
100093-4,Trypanosoma cruzi 15-16kD Ab.IgG,Presence or Threshold,Point in time (spot),Serum,Ord,IB,Microbiology,1,Trypanosoma cruzi 15-16kD IgG Ab [Presence] in Serum by Immunoblot
100094-2,Trypanosoma cruzi 21-22kD Ab.IgG,Presence or Threshold,Point in time (spot),Serum,Ord,IB,Microbiology,1,Trypanosoma cruzi 21-22kD IgG Ab [Presence] in Serum by Immunoblot
100095-9,Trypanosoma cruzi 27-28kD Ab.IgG,Presence or Threshold,Point in time (spot),Serum,Ord,IB,Microbiology,1,Trypanosoma cruzi 27-28kD IgG Ab [Presence] in Serum by Immunoblot
100096-7,Trypanosoma cruzi 42kD Ab.IgG,Presence or Threshold,Point in time (spot),Serum,Ord,IB,Microbiology,1,Trypanosoma cruzi 42kD IgG Ab [Presence] in Serum by Immunoblot
100097-5,Trypanosoma cruzi 45-47kD Ab.IgG,Presence or Threshold,Point in time (spot),Serum,Ord,IB,Microbiology,1,Trypanosoma cruzi 45-47kD IgG Ab [Presence] in Serum by Immunoblot
100098-3,Trypanosoma cruzi 120-200kD Ab.IgG,Presence or Threshold,Point in time (spot),Serum,Ord,IB,Microbiology,1,Trypanosoma cruzi 120-200kD IgG Ab [Presence] in Serum by Immunoblot
10009-9,R wave duration.lead V6,Time (e.g. seconds),Point in time (spot),Heart,Qn,EKG,EKG measurements,2,R wave duration in lead V6
100099-1,Trypanosoma cruzi 160kD Ab.IgG,Presence or Threshold,Point in time (spot),Serum,Ord,IB,Microbiology,1,Trypanosoma cruzi 160kD IgG Ab [Presence] in Serum by Immunoblot
100100-7,Fasciola sp IgG,Presence or Threshold,Point in time (spot),Serum,Ord,IA,Microbiology,1,Fasciola sp IgG Ab [Presence] in Serum by Immunoassay
100101-5,Fasciola sp 8-9kD Ab.IgG,Presence or Threshold,Point in time (spot),Serum,Ord,IB,Microbiology,1,Fasciola sp 8-9kD IgG Ab [Presence] in Serum by Immunoblot
100102-3,Fasciola sp 27-28kD Ab.IgG,Presence or Threshold,Point in time (spot),Serum,Ord,IB,Microbiology,1,Fasciola sp 27-28kD IgG Ab [Presence] in Serum by Immunoblot
100103-1,Fasciola sp 60kD Ab.IgG,Presence or Threshold,Point in time (spot),Serum,Ord,IB,Microbiology,1,Fasciola sp 60kD IgG Ab [Presence] in Serum by Immunoblot
100104-9,Fasciola sp 42kD Ab.IgG,Presence or Threshold,Point in time (spot),Serum,Ord,IB,Microbiology,1,Fasciola sp 42kD IgG Ab [Presence] in Serum by Immunoblot
100105-6,Filaria IgG and IgM panel,-,Point in time (spot),Serum,-,"",Microbiology Panels,1,Filaria IgG and IgM panel - Serum
100106-4,Filaria IgG,Presence or Threshold,Point in time (spot),Serum,Ord,IA,Microbiology,1,Filaria IgG Ab [Presence] in Serum by Immunoassay
10010-7,R' wave amplitude.lead AVF,Electrical Potential (Voltage),Point in time (spot),Heart,Qn,EKG,EKG measurements,2,R' wave amplitude in lead AVF
100107-2,Leishmania sp IgG,Presence or Threshold,Point in time (spot),Serum,Ord,IA,Microbiology,1,Leishmania sp IgG Ab [Presence] in Serum by Immunoassay
100108-0,Leishmania sp IgG,Arbitrary Concentration,Point in time (spot),Serum,Qn,IA,Microbiology,1,Leishmania sp IgG Ab [Units/volume] in Serum by Immunoassay
100109-8,Leishmania sp Ab bands panel,-,Point in time (spot),Serum,-,IB,Microbiology Panels,1,Leishmania sp Ab bands panel - Serum by Immunoblot
100110-6,Leishmania sp 14kD Ab.IgG,Presence or Threshold,Point in time (spot),Serum,Ord,IB,Microbiology,1,Leishmania sp 14kD IgG Ab [Presence] in Serum by Immunoblot
100111-4,Leishmania sp 16kD Ab.IgG,Presence or Threshold,Point in time (spot),Serum,Ord,IB,Microbiology,1,Leishmania sp 16kD IgG Ab [Presence] in Serum by Immunoblot
100112-2,Fasciola sp Ab bands panel,-,Point in time (spot),Serum,-,IB,Microbiology Panels,1,Fasciola sp Ab bands panel - Serum by Immunoblot
100113-0,Helicobacter pylori Ab panel,-,Point in time (spot),Serum,-,"",Microbiology Panels,1,Helicobacter pylori Ab panel - Serum
100114-8,Toxoplasma gondii 30kD Ab,Presence or Threshold,Point in time (spot),Serum,Ord,IB,Microbiology,1,Toxoplasma gondii 30kD Ab [Presence] in Serum by Immunoblot
10011-5,R' wave amplitude.lead AVL,Electrical Potential (Voltage),Point in time (spot),Heart,Qn,EKG,EKG measurements,2,R' wave amplitude in lead AVL
100115-5,Toxoplasma gondii 31kD Ab,Presence or Threshold,Point in time (spot),Serum,Ord,IB,Microbiology,1,Toxoplasma gondii 31kD Ab [Presence] in Serum by Immunoblot
100116-3,Toxoplasma gondii 33kD Ab,Presence or Threshold,Point in time (spot),Serum,Ord,IB,Microbiology,1,Toxoplasma gondii 33kD Ab [Presence] in Serum by Immunoblot
100117-1,Toxoplasma gondii 40kD Ab,Presence or Threshold,Point in time (spot),Serum,Ord,IB,Microbiology,1,Toxoplasma gondii 40kD Ab [Presence] in Serum by Immunoblot
100118-9,Toxoplasma gondii 41kD Ab,Presence or Threshold,Point in time (spot),Serum,Ord,IB,Microbiology,1,Toxoplasma gondii 41kD Ab [Presence] in Serum by Immunoblot
100119-7,Toxoplasma gondii 45kD Ab,Presence or Threshold,Point in time (spot),Serum,Ord,IB,Microbiology,1,Toxoplasma gondii 45kD Ab [Presence] in Serum by Immunoblot
100120-5,Chlamydia trachomatis Ab panel,-,Point in time (spot),Serum,-,"",Microbiology Panels,1,Chlamydia trachomatis Ab panel - Serum
100121-3,Chlamydia trachomatis IgA,Presence or Threshold,Point in time (spot),Serum,Ord,IA,Microbiology,1,Chlamydia trachomatis IgA Ab [Presence] in Serum by Immunoassay
100122-1,Chlamydophila pneumoniae Ab panel,-,Point in time (spot),Serum,-,"",Microbiology Panels,1,Chlamydophila pneumoniae Ab panel - Serum
10012-3,R' wave amplitude.lead AVR,Electrical Potential (Voltage),Point in time (spot),Heart,Qn,EKG,EKG measurements,2,R' wave amplitude in lead AVR
100123-9,Chlamydophila pneumoniae IgA,Presence or Threshold,Point in time (spot),Serum,Ord,IA,Microbiology,1,Chlamydophila pneumoniae IgA Ab [Presence] in Serum by Immunoassay
100124-7,Chlamydophila pneumoniae IgA,Arbitrary Concentration,Point in time (spot),Serum,Qn,IA,Microbiology,1,Chlamydophila pneumoniae IgA Ab [Units/volume] in Serum by Immunoassay
100125-4,Chlamydophila psittaci Ab panel,-,Point in time (spot),Serum,-,"",Microbiology Panels,1,Chlamydophila psittaci Ab panel - Serum
100126-2,Bordetella pertussis Ab.IgG panel,-,Point in time (spot),Serum,-,"",Microbiology Panels,1,Bordetella pertussis Ab.IgG panel - Serum
100127-0,Campylobacter sp Ab panel,-,Point in time (spot),Serum,-,"",Microbiology Panels,1,Campylobacter sp Ab panel - Serum
100128-8,Cryptococcus sp Ag panel,-,Point in time (spot),Serum,-,"",Microbiology Panels,1,Cryptococcus sp Ag panel - Serum
100129-6,Schistosoma sp Ab,Titer,Point in time (spot),Serum,Qn,HA,Microbiology,1,Schistosoma sp Ab [Titer] in Serum by Hemagglutination
100130-4,Schistosoma mansoni Ab,Presence or Threshold,Point in time (spot),Serum,Ord,IB,Microbiology,1,Schistosoma mansoni Ab [Presence] in Serum by Immunoblot
10013-1,R' wave amplitude.lead I,Electrical Potential (Voltage),Point in time (spot),Heart,Qn,EKG,EKG measurements,2,R' wave amplitude in lead I
100131-2,Schistosoma sp 8kD Ab,Presence or Threshold,Point in time (spot),Serum,Ord,IB,Microbiology,1,Schistosoma sp 8kD Ab [Presence] in Serum by Immunoblot
100132-0,Schistosoma sp 9kD Ab,Presence or Threshold,Point in time (spot),Serum,Ord,IB,Microbiology,1,Schistosoma sp 9kD Ab [Presence] in Serum by Immunoblot
100133-8,Schistosoma sp 10kD Ab,Presence or Threshold,Point in time (spot),Serum,Ord,IB,Microbiology,1,Schistosoma sp 10kD Ab [Presence] in Serum by Immunoblot
100134-6,Schistosoma sp 11kD Ab,Presence or Threshold,Point in time (spot),Serum,Ord,IB,Microbiology,1,Schistosoma sp 11kD Ab [Presence] in Serum by Immunoblot
100135-3,Schistosoma sp 12-13kD Ab,Presence or Threshold,Point in time (spot),Serum,Ord,IB,Microbiology,1,Schistosoma sp 12-13kD Ab [Presence] in Serum by Immunoblot
100136-1,Schistosoma sp 14-15kD Ab,Presence or Threshold,Point in time (spot),Serum,Ord,IB,Microbiology,1,Schistosoma sp 14-15kD Ab [Presence] in Serum by Immunoblot
100137-9,Schistosoma sp 15-16kD Ab,Presence or Threshold,Point in time (spot),Serum,Ord,IB,Microbiology,1,Schistosoma sp 15-16kD Ab [Presence] in Serum by Immunoblot
100138-7,Schistosoma sp 18-19kD Ab,Presence or Threshold,Point in time (spot),Serum,Ord,IB,Microbiology,1,Schistosoma sp 18-19kD Ab [Presence] in Serum by Immunoblot
100139-5,Schistosoma sp 22-24kD Ab,Presence or Threshold,Point in time (spot),Serum,Ord,IB,Microbiology,1,Schistosoma sp 22-24kD Ab [Presence] in Serum by Immunoblot
100140-3,Schistosoma sp 30-34kD Ab,Presence or Threshold,Point in time (spot),Serum,Ord,IB,Microbiology,1,Schistosoma sp 30-34kD Ab [Presence] in Serum by Immunoblot
100141-1,Schistosoma sp 65kD Ab,Presence or Threshold,Point in time (spot),Serum,Ord,IB,Microbiology,1,Schistosoma sp 65kD Ab [Presence] in Serum by Immunoblot
100142-9,Schistosoma sp 70kD Ab,Presence or Threshold,Point in time (spot),Serum,Ord,IB,Microbiology,1,Schistosoma sp 70kD Ab [Presence] in Serum by Immunoblot
100143-7,Schistosoma sp 80kD Ab,Presence or Threshold,Point in time (spot),Serum,Ord,IB,Microbiology,1,Schistosoma sp 80kD Ab [Presence] in Serum by Immunoblot
100144-5,Schistosoma sp 95kD Ab,Presence or Threshold,Point in time (spot),Serum,Ord,IB,Microbiology,1,Schistosoma sp 95kD Ab [Presence] in Serum by Immunoblot
100145-2,Schistosoma sp 110kD Ab,Presence or Threshold,Point in time (spot),Serum,Ord,IB,Microbiology,1,Schistosoma sp 110kD Ab [Presence] in Serum by Immunoblot
100146-0,Schistosoma sp 120kD Ab,Presence or Threshold,Point in time (spot),Serum,Ord,IB,Microbiology,1,Schistosoma sp 120kD Ab [Presence] in Serum by Immunoblot
100147-8,Toxoplasma gondii Ab bands panel,-,Point in time (spot),Serum,-,IB,Microbiology Panels,1,Toxoplasma gondii Ab bands panel - Serum by Immunoblot
100148-6,Schistosoma sp Ab bands panel,-,Point in time (spot),Serum,-,IB,Microbiology Panels,1,Schistosoma sp Ab bands panel - Serum by Immunoblot
10014-9,R' wave amplitude.lead II,Electrical Potential (Voltage),Point in time (spot),Heart,Qn,EKG,EKG measurements,2,R' wave amplitude in lead II
100149-4,6-oxo-piperidine-2-carboxylate and 6(R+S)-oxo-propylpiperidine-2-carboxylate panel,-,Point in time (spot),Urine and Serum or Plasma,-,"",Chemistry Panels,1,6-oxo-piperidine-2-carboxylate and 6(R+S)-oxo-propylpiperidine-2-carboxylate panel - Urine and Serum or Plasma
100150-2,6(R+S)-oxo-propylpiperidine-2-carboxylate,Substance Concentration,Point in time (spot),Plasma,Qn,"",Chemistry - non-challenge,1,6(R+S)-oxo-propylpiperidine-2-carboxylate [Moles/volume] in Plasma
100151-0,6-oxo-piperidine-2-carboxylate,Substance Concentration,Point in time (spot),Plasma,Qn,"",Chemistry - non-challenge,1,6-oxo-piperidine-2-carboxylate [Moles/volume] in Plasma
100152-8,6-oxo-piperidine-2-carboxylate/Creatinine,Substance Ratio,Point in time (spot),Urine,Qn,"",Chemistry - non-challenge,1,6-oxo-piperidine-2-carboxylate/Creatinine [Molar ratio] in Urine
100153-6,6(R+S)-oxo-propylpiperidine-2-carboxylate/Creatinine,Substance Ratio,Point in time (spot),Urine,Qn,"",Chemistry - non-challenge,1,6(R+S)-oxo-propylpiperidine-2-carboxylate/Creatinine [Molar ratio] in Urine
